"","Richness","Chao1","Shannon","Simpson","Evenness","Treatment"
"WRC152M",4228,5896.09448818898,6.03623099331796,0.987117838735918,0.722946560824914,"M"
"WRC152MF",6538,9236.51506024096,6.51524420691316,0.992930807754805,0.741600172306957,"MF"
"WRC154M",4211,5856.853115727,6.14649377634614,0.990067070485221,0.736507890942016,"M"
"WRC154MF",7231,10251.0157480315,6.51923022203618,0.992480826286648,0.733640887679561,"MF"
"WRC156M",5131,7304.22503008424,6.08360178430161,0.989147413086641,0.712110735367699,"M"
"WRC156MF",8742,11781.3550773369,6.59072272431033,0.991058086360473,0.726178878279515,"MF"
"WRC158M",4956,7228.52607184241,6.125376969526,0.98846068425588,0.719925004855805,"M"
"WRC158MF",9015,12687.015,6.77569631682949,0.993460204888965,0.74403868997968,"MF"
"WRC15AVRP2M",3887,5420.80143112701,5.69499037763628,0.981310279503629,0.68901629060835,"M"
"WRC15AVRP2MF",5707,7957.31797235023,6.54420261545507,0.993076621043087,0.756603430931587,"MF"
"WRC15AVRP4M",4383,5602.16163141994,5.80171684463706,0.984389528291441,0.691875816891542,"M"
"WRC15AVRP4MF",4897,6874.98914518318,6.50910885351451,0.994586876752911,0.766103957934212,"MF"
"WRC15AVRP6M",4509,5918.1976744186,6.30804705822052,0.993792773059189,0.749723556286763,"M"
"WRC15AVRP6MF",4593,6253.57051282051,6.35916395184563,0.990969661214124,0.75414447843398,"MF"
"WRC15AVRP8M",5333,6539.82608695652,6.00932289522201,0.986334243674906,0.700251052300983,"M"
"WRC15AVRP8MF",4707,6689.04161073826,6.22163088919161,0.989636860726944,0.735695114530591,"MF"
"WRC15AVRS2M",3105,4298.74233128834,5.60035166803414,0.979825168117844,0.696494535778492,"M"
"WRC15AVRS2MF",7355,9953.02261048304,6.32702312418007,0.990429375350236,0.710651099226583,"MF"
"WRC15AVRS4M",3675,5050.44223826715,5.56026959580913,0.982503219683428,0.677312791406462,"M"
"WRC15AVRS4MF",3323,5168.00202020202,6.18587598441555,0.989000567507761,0.76287623431182,"MF"
"WRC15AVRS6M",4400,5810.15,5.89464857512862,0.987640043106762,0.702633895990698,"M"
"WRC15AVRS6MF",4981,6648.62158647594,6.15934352557869,0.987730450366239,0.723489286111269,"MF"
"WRC15AVRS8M",5199,6849.11032531825,5.75358971429795,0.982547822248948,0.672445151354392,"M"
"WRC15AVRS8MF",5048,6853.06307490145,6.14044784488514,0.989226673316627,0.720139527276884,"MF"
"WRC15ECRP2M",3276,4652.8978805395,5.69412870607662,0.9811392589061,0.703467072213923,"M"
"WRC15ECRP2MF",5214,7117.26086956522,6.27757263837595,0.990126877874736,0.733438181055881,"MF"
"WRC15ECRP4M",5003,6420.26698262243,6.24878779452893,0.992776651876034,0.733615830544485,"M"
"WRC15ECRP4MF",4596,6346.24788732394,6.41664806914685,0.994381881180258,0.760902700843499,"MF"
"WRC15ECRP6M",2087,3297.61432506887,6.0142428429153,0.990579671281217,0.78684585496314,"M"
"WRC15ECRP6MF",6522,8209.30182599356,6.25523817161471,0.990146952058994,0.712203518028767,"MF"
"WRC15ECRP8M",5120,6456.10013003901,6.00944946948031,0.986501942675846,0.703607656312273,"M"
"WRC15ECRP8MF",7681,10138.3005319149,6.55301524126701,0.99351482848829,0.73246650197187,"MF"
"WRC15ECRS2M",4116,5303.40384615385,5.61325188523015,0.977160224683689,0.674455923025238,"M"
"WRC15ECRS2MF",5884,7999.74943052392,6.28145288769748,0.991170941642761,0.723670347686746,"MF"
"WRC15ECRS4M",4258,5888.2427184466,5.76690943385633,0.983808708864453,0.690106095216254,"M"
"WRC15ECRS4MF",5376,7532.06866416979,6.18922844216681,0.989260666816835,0.720540708877418,"MF"
"WRC15ECRS6M",5171,7145.10038610039,5.92554815114241,0.98707607829725,0.692979994912684,"M"
"WRC15ECRS6MF",5848,8273.41905855339,6.29722976383501,0.989968065357732,0.726001271960058,"MF"
"WRC15ECRS8M",4614,6245.0792767733,6.05832991752029,0.98809072357352,0.718079567904441,"M"
"WRC15ECRS8MF",6098,8243.2320441989,6.52297591700245,0.993840861253639,0.748415370755932,"MF"
